time,frequency,confidence
0.000,580.515,0.081175
0.010,587.317,0.075239
0.020,594.641,0.080581
0.030,604.506,0.058238
0.040,632.015,0.068497
0.050,304.921,0.091955
0.060,301.887,0.095577
0.070,964.518,0.039227
0.080,967.473,0.013025
0.090,1968.486,0.018906
0.100,32.356,0.025731
0.110,1961.732,0.009481
0.120,32.113,0.009180
0.130,1936.934,0.008304
0.140,32.681,0.012734
0.150,32.349,0.012426
0.160,1217.307,0.008985
0.170,1232.081,0.008374
0.180,1225.250,0.019006
0.190,1175.365,0.010581
0.200,1748.721,0.016652
0.210,1752.537,0.038430
0.220,1746.701,0.051872
0.230,1712.624,0.061936
0.240,1850.060,0.020444
0.250,1908.813,0.008391
0.260,54.812,0.002977
0.270,54.524,0.039352
0.280,53.889,0.028467
0.290,54.138,0.017600
0.300,32.936,0.025409
0.310,1404.710,0.007832
0.320,32.146,0.006143
0.330,1799.238,0.008279
0.340,1792.490,0.006557
0.350,950.332,0.010730
0.360,131.456,0.031015
0.370,132.840,0.012610
0.380,1178.011,0.015623
0.390,655.790,0.048501
0.400,177.504,0.051335
0.410,634.830,0.041693
0.420,646.802,0.057059
0.430,647.605,0.040064
0.440,1970.794,0.012822
0.450,1972.716,0.005375
0.460,545.222,0.011863
0.470,544.349,0.018774
0.480,543.616,0.102884
0.490,546.030,0.065516
0.500,545.219,0.106677
0.510,545.340,0.120763
0.520,552.016,0.126506
0.530,277.711,0.320688
0.540,143.144,0.315313
0.550,144.211,0.568565
0.560,145.270,0.629774
0.570,292.980,0.422541
0.580,147.027,0.605920
0.590,146.934,0.705565
0.600,146.956,0.662766
0.610,146.930,0.656449
0.620,146.877,0.717602
0.630,146.838,0.768120
0.640,147.022,0.736793
0.650,147.145,0.816463
0.660,147.323,0.867027
0.670,147.358,0.870487
0.680,147.095,0.836794
0.690,147.044,0.829817
0.700,147.059,0.825913
0.710,147.210,0.823139
0.720,147.300,0.876644
0.730,147.240,0.909576
0.740,147.176,0.926860
0.750,147.144,0.940682
0.760,147.137,0.949976
0.770,147.135,0.951455
0.780,147.098,0.954320
0.790,147.101,0.951469
0.800,146.933,0.946656
0.810,147.074,0.943444
0.820,147.113,0.923444
0.830,147.207,0.948374
0.840,147.139,0.947210
0.850,147.119,0.956894
0.860,147.193,0.952893
0.870,147.164,0.956136
0.880,147.053,0.952416
0.890,147.118,0.962405
0.900,147.196,0.958875
0.910,147.084,0.962477
0.920,147.102,0.963197
0.930,147.314,0.963643
0.940,147.277,0.963895
0.950,147.146,0.964360
0.960,147.252,0.966483
0.970,147.203,0.965501
0.980,147.147,0.964052
0.990,147.024,0.953327
1.000,147.171,0.957816
1.010,147.160,0.955747
1.020,147.043,0.961473
1.030,147.112,0.960650
1.040,147.232,0.967909
1.050,147.154,0.962505
1.060,147.080,0.965803
1.070,147.131,0.960181
1.080,147.198,0.963956
1.090,147.114,0.961155
1.100,147.065,0.961987
1.110,147.236,0.961955
1.120,147.191,0.960916
1.130,147.089,0.957046
1.140,147.077,0.957247
1.150,147.209,0.962234
1.160,147.049,0.956794
1.170,147.008,0.961674
1.180,147.146,0.958321
1.190,147.173,0.965313
1.200,147.053,0.957135
1.210,147.122,0.962869
1.220,147.121,0.958186
1.230,147.118,0.959962
1.240,147.060,0.955045
1.250,147.101,0.960473
1.260,147.174,0.962327
1.270,147.082,0.960000
1.280,147.083,0.959673
1.290,147.119,0.961355
1.300,147.164,0.962802
1.310,147.039,0.956219
1.320,147.009,0.960720
1.330,147.139,0.961164
1.340,147.041,0.962972
1.350,147.052,0.955637
1.360,147.116,0.965395
1.370,147.148,0.956940
1.380,147.049,0.959302
1.390,147.024,0.958261
1.400,147.157,0.962462
1.410,147.161,0.963084
1.420,147.045,0.959131
1.430,147.089,0.961929
1.440,147.100,0.960595
1.450,147.087,0.959751
1.460,147.014,0.954840
1.470,147.061,0.960019
1.480,147.168,0.960220
1.490,147.026,0.958003
1.500,147.086,0.953698
1.510,147.150,0.963284
1.520,147.137,0.951562
1.530,146.971,0.954215
1.540,147.050,0.953374
1.550,147.167,0.955793
1.560,147.114,0.957339
1.570,147.069,0.951676
1.580,147.132,0.953272
1.590,147.118,0.950108
1.600,147.093,0.951404
1.610,147.004,0.948491
1.620,147.106,0.947843
1.630,147.146,0.950582
1.640,147.017,0.951341
1.650,147.114,0.947241
1.660,147.117,0.952083
1.670,147.109,0.937306
1.680,147.031,0.946643
1.690,147.165,0.940947
1.700,147.123,0.944765
1.710,147.123,0.946361
1.720,147.020,0.943422
1.730,147.131,0.946854
1.740,147.095,0.944377
1.750,147.029,0.941287
1.760,147.057,0.950108
1.770,147.095,0.944971
1.780,147.093,0.949216
1.790,147.018,0.943890
1.800,147.176,0.948496
1.810,147.156,0.947701
1.820,147.164,0.945022
1.830,147.119,0.945167
1.840,147.146,0.938965
1.850,147.091,0.943964
1.860,147.079,0.927781
1.870,147.036,0.938042
1.880,147.082,0.948859
1.890,147.030,0.944472
1.900,147.012,0.937997
1.910,147.094,0.943853
1.920,147.031,0.943067
1.930,147.074,0.944449
1.940,147.051,0.941295
1.950,147.109,0.943974
1.960,147.105,0.943592
1.970,147.114,0.931509
1.980,147.079,0.935171
1.990,147.042,0.923632
2.000,147.080,0.928850
2.010,147.035,0.905155
2.020,146.991,0.920172
2.030,146.981,0.932503
2.040,146.995,0.934218
2.050,146.980,0.903293
2.060,146.969,0.913998
2.070,146.888,0.923775
2.080,147.011,0.905295
2.090,146.985,0.914990
2.100,147.007,0.925653
2.110,146.982,0.908226
2.120,146.988,0.907164
2.130,146.977,0.904697
2.140,146.876,0.901375
2.150,147.025,0.884226
2.160,146.966,0.894416
2.170,146.999,0.876087
2.180,146.930,0.870654
2.190,146.994,0.882447
2.200,146.990,0.849734
2.210,146.864,0.862877
2.220,146.910,0.816169
2.230,146.929,0.831795
2.240,146.998,0.853501
2.250,146.937,0.839450
2.260,147.013,0.852315
2.270,147.028,0.861411
2.280,146.955,0.892559
2.290,147.020,0.879747
2.300,146.976,0.855141
2.310,146.980,0.899657
2.320,146.974,0.891271
2.330,146.993,0.887097
2.340,146.980,0.904394
2.350,146.950,0.910083
2.360,146.956,0.912038
2.370,147.002,0.876636
2.380,146.920,0.884760
2.390,147.012,0.901911
2.400,146.756,0.875381
2.410,293.643,0.624959
2.420,294.008,0.510331
2.430,291.490,0.171746
2.440,122.805,0.519479
2.450,122.950,0.739308
2.460,123.281,0.828755
2.470,123.467,0.855207
2.480,123.385,0.902447
2.490,123.378,0.895899
2.500,123.149,0.907506
2.510,123.039,0.901880
2.520,123.094,0.916341
2.530,123.201,0.918970
2.540,123.357,0.933696
2.550,123.307,0.935344
2.560,123.259,0.925045
2.570,123.229,0.935481
2.580,123.216,0.925277
2.590,123.199,0.936950
2.600,123.251,0.933124
2.610,123.293,0.939110
2.620,123.398,0.937077
2.630,123.307,0.937408
2.640,123.282,0.931021
2.650,123.237,0.935095
2.660,123.345,0.934745
2.670,123.356,0.935935
2.680,123.245,0.937126
2.690,123.118,0.922758
2.700,123.146,0.922925
2.710,123.197,0.931069
2.720,123.206,0.934980
2.730,123.210,0.940801
2.740,123.249,0.945287
2.750,123.269,0.942568
2.760,123.263,0.940468
2.770,123.238,0.941036
2.780,123.240,0.943504
2.790,123.343,0.944430
2.800,123.313,0.941891
2.810,123.327,0.945820
2.820,123.299,0.945698
2.830,123.335,0.947913
2.840,123.305,0.945619
2.850,123.283,0.944939
2.860,123.253,0.939804
2.870,123.382,0.945944
2.880,123.339,0.943053
2.890,123.259,0.944531
2.900,123.285,0.946265
2.910,123.249,0.949226
2.920,123.206,0.939115
2.930,123.088,0.927148
2.940,123.055,0.917781
2.950,123.118,0.895647
2.960,123.126,0.882700
2.970,122.873,0.826733
2.980,121.657,0.492470
2.990,119.501,0.202662
3.000,87.584,0.730223
3.010,87.066,0.849676
3.020,86.860,0.940899
3.030,86.793,0.945117
3.040,86.847,0.950254
3.050,87.069,0.937849
3.060,87.099,0.927397
3.070,86.984,0.923024
3.080,87.122,0.922609
3.090,87.068,0.916182
3.100,87.170,0.922461
3.110,87.006,0.926811
3.120,86.957,0.942413
3.130,87.077,0.936360
3.140,87.146,0.936356
3.150,87.095,0.941226
3.160,87.097,0.935445
3.170,87.068,0.924691
3.180,87.111,0.930719
3.190,87.149,0.925743
3.200,87.120,0.934956
3.210,87.075,0.930586
3.220,87.112,0.927634
3.230,87.118,0.934122
3.240,87.118,0.925204
3.250,86.987,0.937844
3.260,86.956,0.934369
3.270,87.107,0.934895
