time,frequency,confidence
0.000,498.551,0.877126
0.010,499.116,0.916814
0.020,499.787,0.953106
0.030,500.871,0.967077
0.040,502.642,0.959603
0.050,504.043,0.936626
0.060,505.514,0.937377
0.070,506.731,0.948765
0.080,506.151,0.948511
0.090,504.765,0.933276
0.100,504.071,0.931551
0.110,504.049,0.923141
0.120,503.617,0.912279
0.130,502.373,0.907683
0.140,501.406,0.896690
0.150,500.189,0.884103
0.160,498.029,0.916572
0.170,496.515,0.944106
0.180,496.021,0.959232
0.190,495.877,0.969427
0.200,495.934,0.973211
0.210,496.267,0.969702
0.220,496.494,0.964826
0.230,496.627,0.962411
0.240,496.649,0.961346
0.250,496.674,0.958972
0.260,496.646,0.959958
0.270,496.597,0.963924
0.280,496.636,0.966408
0.290,496.885,0.964519
0.300,497.140,0.960281
0.310,497.272,0.958285
0.320,497.463,0.955461
0.330,497.770,0.949886
0.340,498.125,0.941759
0.350,498.462,0.931914
0.360,498.792,0.927380
0.370,499.086,0.933676
0.380,499.439,0.940116
0.390,499.717,0.944550
0.400,499.986,0.948273
0.410,499.896,0.947095
0.420,498.819,0.916333
0.430,495.829,0.842762
0.440,491.759,0.541625
0.450,1494.583,0.307913
0.460,1496.903,0.393857
0.470,498.067,0.447188
0.480,496.332,0.779562
0.490,496.066,0.805998
0.500,496.795,0.720814
0.510,492.062,0.487269
0.520,368.475,0.408330
0.530,369.424,0.787773
0.540,369.600,0.890562
0.550,369.795,0.914177
0.560,370.207,0.940044
0.570,370.242,0.948775
0.580,370.563,0.956323
0.590,370.594,0.955895
0.600,370.559,0.958728
0.610,370.600,0.959023
0.620,370.433,0.956464
0.630,370.535,0.957410
0.640,370.577,0.959292
0.650,370.498,0.958098
0.660,370.727,0.957115
0.670,370.575,0.956802
0.680,370.621,0.956973
0.690,370.594,0.956792
0.700,370.525,0.955576
0.710,370.576,0.958459
0.720,370.670,0.959164
0.730,370.776,0.957994
0.740,370.802,0.959010
0.750,370.866,0.961911
0.760,370.894,0.961765
0.770,371.003,0.965706
0.780,371.214,0.967618
0.790,371.287,0.967291
0.800,371.446,0.970723
0.810,371.404,0.966011
0.820,370.760,0.928979
0.830,369.919,0.772786
0.840,367.208,0.501618
0.850,327.117,0.700759
0.860,327.115,0.903490
0.870,329.019,0.913798
0.880,329.892,0.957298
0.890,329.907,0.967616
0.900,329.920,0.971132
0.910,329.939,0.972230
0.920,329.758,0.970539
0.930,329.752,0.971354
0.940,329.742,0.973518
0.950,329.832,0.974120
0.960,330.001,0.974492
0.970,330.072,0.976516
0.980,330.270,0.975751
0.990,330.363,0.976154
1.000,330.303,0.975496
1.010,330.246,0.973657
1.020,330.172,0.968092
1.030,330.276,0.967005
1.040,330.301,0.965732
1.050,330.446,0.968179
1.060,330.599,0.962828
1.070,330.601,0.961501
1.080,330.761,0.952516
1.090,330.778,0.940892
1.100,330.788,0.926894
1.110,330.741,0.924247
1.120,330.612,0.924616
1.130,330.528,0.918576
1.140,330.104,0.884698
1.150,328.918,0.831081
1.160,327.448,0.882911
1.170,327.119,0.901815
1.180,327.314,0.918959
1.190,327.983,0.926466
1.200,328.812,0.914738
1.210,329.132,0.935483
1.220,329.052,0.943885
1.230,328.813,0.930866
1.240,328.852,0.934968
1.250,328.903,0.939906
1.260,329.074,0.945822
1.270,329.438,0.956148
