time,frequency,confidence
0.000,695.783,0.808831
0.010,697.205,0.882681
0.020,698.861,0.921380
0.030,699.582,0.925915
0.040,699.386,0.926777
0.050,698.951,0.924494
0.060,698.606,0.918948
0.070,698.279,0.914925
0.080,698.154,0.911758
0.090,698.437,0.921968
0.100,699.266,0.933188
0.110,699.754,0.940866
0.120,700.408,0.941667
0.130,700.073,0.953336
0.140,700.746,0.946012
0.150,701.039,0.929559
0.160,702.994,0.878178
0.170,704.589,0.668213
0.180,775.078,0.652708
0.190,778.238,0.921222
0.200,777.928,0.944721
0.210,778.109,0.943515
0.220,777.969,0.946818
0.230,778.680,0.949418
0.240,779.147,0.947235
0.250,779.373,0.940231
0.260,778.897,0.934015
0.270,779.102,0.936507
0.280,779.417,0.939590
0.290,779.773,0.943015
0.300,780.348,0.941528
0.310,780.743,0.941491
0.320,780.534,0.944433
0.330,780.288,0.947890
0.340,780.894,0.945435
0.350,782.624,0.943146
0.360,783.955,0.953722
0.370,784.296,0.953084
0.380,783.783,0.950335
0.390,783.484,0.950503
0.400,784.074,0.943065
0.410,785.490,0.912123
0.420,786.308,0.887265
0.430,787.125,0.797374
0.440,785.219,0.445695
0.450,436.609,0.513368
0.460,439.564,0.823557
0.470,440.625,0.921356
0.480,440.774,0.939503
0.490,440.628,0.949266
0.500,440.761,0.960169
0.510,440.876,0.966041
0.520,440.860,0.971315
0.530,440.631,0.974041
0.540,440.592,0.973742
0.550,440.341,0.973800
0.560,440.178,0.971129
0.570,440.070,0.967443
0.580,439.898,0.961619
0.590,439.951,0.961272
0.600,439.970,0.961882
0.610,440.080,0.966076
0.620,440.311,0.969561
0.630,440.201,0.971150
0.640,440.368,0.974948
0.650,440.551,0.978799
0.660,440.670,0.979083
0.670,440.523,0.976829
0.680,440.899,0.977745
0.690,441.509,0.976066
0.700,442.436,0.968012
0.710,443.486,0.942872
0.720,443.737,0.929785
0.730,442.617,0.949716
0.740,441.539,0.947240
0.750,440.847,0.890983
0.760,440.869,0.760134
0.770,440.638,0.491445
0.780,793.438,0.224303
0.790,793.112,0.591189
0.800,791.383,0.776839
0.810,790.672,0.858663
0.820,790.159,0.891208
0.830,789.760,0.910002
0.840,789.376,0.921390
0.850,789.374,0.920674
0.860,790.168,0.917842
0.870,790.455,0.916808
0.880,790.597,0.916621
0.890,790.661,0.918427
0.900,790.539,0.922614
0.910,790.721,0.925653
0.920,790.511,0.927808
0.930,790.303,0.931303
0.940,789.843,0.935996
0.950,788.875,0.940742
0.960,788.022,0.943509
0.970,787.201,0.948141
0.980,786.746,0.950252
0.990,786.587,0.947329
1.000,786.584,0.939147
1.010,786.249,0.907190
1.020,783.823,0.474204
1.030,691.467,0.648483
1.040,695.141,0.871841
1.050,695.615,0.885596
1.060,695.697,0.859479
1.070,695.472,0.826378
1.080,694.714,0.828709
1.090,694.087,0.861292
