time,frequency,confidence
0.000,32.902,0.012134
0.010,42.795,0.028400
0.020,33.640,0.013426
0.030,97.561,0.141734
0.040,100.334,0.522091
0.050,103.854,0.468853
0.060,108.185,0.517743
0.070,112.868,0.517556
0.080,116.353,0.792069
0.090,120.396,0.684044
0.100,124.015,0.749419
0.110,127.396,0.773137
0.120,131.406,0.843283
0.130,134.601,0.840800
0.140,138.406,0.814899
0.150,142.912,0.788228
0.160,146.842,0.905794
0.170,150.357,0.843136
0.180,154.397,0.875298
0.190,158.638,0.829734
0.200,162.504,0.851501
0.210,165.589,0.892478
0.220,169.646,0.775685
0.230,173.637,0.847240
0.240,177.221,0.850752
0.250,181.103,0.862820
0.260,185.080,0.853099
0.270,189.537,0.828782
0.280,193.923,0.827008
0.290,197.460,0.854974
0.300,201.254,0.842369
0.310,205.369,0.870029
0.320,208.625,0.875999
0.330,212.718,0.894108
0.340,217.054,0.885093
0.350,220.502,0.943182
0.360,223.980,0.897656
0.370,228.505,0.870485
0.380,233.395,0.862447
0.390,236.798,0.843904
0.400,240.698,0.843018
0.410,244.047,0.888346
0.420,247.472,0.911995
0.430,251.690,0.889838
0.440,256.197,0.923486
0.450,259.033,0.907689
0.460,262.819,0.904086
0.470,267.089,0.883691
0.480,271.099,0.918449
0.490,274.705,0.924109
0.500,278.022,0.884344
0.510,282.655,0.857399
0.520,286.460,0.890675
0.530,290.381,0.885416
0.540,294.432,0.926454
0.550,297.928,0.924426
0.560,301.379,0.927087
0.570,305.166,0.938299
0.580,309.559,0.924868
0.590,313.595,0.914572
0.600,318.012,0.899590
0.610,321.737,0.903659
0.620,325.251,0.912236
0.630,328.550,0.896821
0.640,331.618,0.931075
0.650,335.161,0.897798
0.660,339.264,0.880014
0.670,345.113,0.838264
0.680,349.153,0.905040
0.690,352.016,0.893734
0.700,354.966,0.913368
0.710,358.641,0.926718
0.720,362.453,0.913182
0.730,367.987,0.882092
0.740,372.434,0.901910
0.750,376.317,0.931887
0.760,379.882,0.944591
0.770,383.612,0.925400
0.780,387.317,0.911877
0.790,391.305,0.915190
0.800,394.560,0.935901
0.810,398.196,0.914456
0.820,402.196,0.902118
0.830,406.950,0.892962
0.840,411.331,0.902794
0.850,414.989,0.894124
0.860,418.164,0.890551
0.870,422.324,0.887028
0.880,426.973,0.911117
0.890,431.028,0.929906
0.900,434.585,0.909650
0.910,438.340,0.898837
0.920,442.265,0.953991
0.930,445.635,0.935324
0.940,448.989,0.903008
0.950,453.313,0.907024
0.960,457.767,0.917975
0.970,461.984,0.905066
0.980,465.892,0.897597
0.990,469.029,0.927620
1.000,472.426,0.911291
1.010,475.187,0.889632
1.020,476.646,0.924380
1.030,475.970,0.901342
1.040,473.958,0.936429
1.050,471.767,0.919151
1.060,469.057,0.957536
1.070,466.710,0.955156
