time,frequency,confidence
0.000,439.622,0.831990
0.010,439.153,0.872075
0.020,437.975,0.907459
0.030,437.280,0.921394
0.040,435.510,0.919385
0.050,433.290,0.914943
0.060,431.555,0.936731
0.070,430.028,0.923605
0.080,428.288,0.918886
0.090,426.735,0.933150
0.100,424.965,0.898685
0.110,422.577,0.905918
0.120,420.519,0.890322
0.130,417.999,0.909026
0.140,416.260,0.923234
0.150,415.006,0.905972
0.160,413.524,0.907373
0.170,411.832,0.925805
0.180,409.922,0.888175
0.190,407.632,0.920675
0.200,405.520,0.912644
0.210,403.168,0.925918
0.220,401.315,0.921344
0.230,399.540,0.921760
0.240,398.131,0.947181
0.250,396.424,0.933657
0.260,394.873,0.937014
0.270,393.235,0.955526
0.280,391.670,0.930893
0.290,390.090,0.944831
0.300,388.303,0.942814
0.310,385.901,0.911958
0.320,383.674,0.906986
0.330,381.697,0.912896
0.340,380.156,0.927997
0.350,378.484,0.901300
0.360,376.640,0.934069
0.370,374.679,0.915680
0.380,372.536,0.905386
0.390,370.908,0.918265
0.400,369.460,0.883418
0.410,367.565,0.886971
0.420,365.243,0.870784
0.430,363.211,0.916598
0.440,361.301,0.910318
0.450,359.394,0.909824
0.460,357.371,0.918194
0.470,355.607,0.922664
0.480,353.908,0.937107
0.490,352.469,0.908443
0.500,350.989,0.928251
0.510,349.420,0.923404
0.520,348.271,0.879340
0.530,346.625,0.915765
0.540,344.649,0.892683
0.550,342.416,0.918555
0.560,340.224,0.890925
0.570,337.959,0.910383
0.580,336.184,0.882627
0.590,334.784,0.927093
0.600,332.986,0.908894
0.610,331.321,0.936994
0.620,329.720,0.936608
0.630,328.009,0.936740
0.640,326.269,0.941565
0.650,324.497,0.938475
0.660,322.978,0.946010
0.670,321.140,0.893571
0.680,318.948,0.929996
0.690,316.910,0.909516
0.700,314.622,0.916298
0.710,313.138,0.927478
0.720,311.769,0.941386
0.730,310.247,0.923642
0.740,308.521,0.957424
0.750,306.659,0.936261
0.760,304.625,0.946877
0.770,302.455,0.935609
0.780,300.465,0.907540
0.790,298.832,0.929784
0.800,297.162,0.912250
0.810,295.540,0.936135
0.820,293.651,0.924385
0.830,292.024,0.928619
0.840,290.246,0.919830
0.850,288.317,0.932654
0.860,285.864,0.933848
0.870,284.413,0.962376
0.880,282.423,0.915355
0.890,280.079,0.905266
0.900,278.312,0.929606
0.910,276.751,0.918298
0.920,275.262,0.941731
0.930,273.721,0.929935
0.940,271.964,0.950039
0.950,269.934,0.950199
0.960,267.784,0.955787
0.970,265.877,0.963377
0.980,263.962,0.923636
0.990,262.283,0.967097
1.000,260.639,0.944245
1.010,259.280,0.960810
1.020,259.073,0.963028
1.030,259.777,0.963656
1.040,261.230,0.952239
1.050,262.763,0.966616
1.060,264.488,0.947952
1.070,266.306,0.959165
1.080,268.132,0.965363
1.090,270.027,0.951060
1.100,272.438,0.960809
1.110,274.266,0.953644
1.120,275.604,0.948849
1.130,276.791,0.927130
1.140,278.355,0.940827
1.150,280.076,0.917860
1.160,281.993,0.942493
1.170,284.082,0.963866
1.180,285.868,0.935871
1.190,287.630,0.966649
1.200,289.369,0.917968
1.210,291.455,0.953480
1.220,293.220,0.943657
1.230,294.724,0.968707
1.240,296.365,0.933627
1.250,298.038,0.958366
1.260,299.779,0.944439
1.270,301.472,0.969922
1.280,303.343,0.955139
1.290,305.248,0.979962
1.300,307.251,0.967486
1.310,309.223,0.971997
1.320,310.885,0.964882
1.330,312.144,0.975365
1.340,313.561,0.957828
1.350,315.720,0.958990
1.360,318.471,0.938543
1.370,320.421,0.938278
1.380,322.012,0.944792
1.390,323.441,0.963471
1.400,324.959,0.945225
1.410,326.611,0.977417
1.420,328.320,0.963174
1.430,329.578,0.982372
1.440,330.943,0.987133
1.450,332.462,0.967089
1.460,334.106,0.969040
1.470,336.072,0.952232
1.480,337.957,0.957268
1.490,340.017,0.943715
1.500,342.354,0.961585
1.510,344.532,0.953303
1.520,345.942,0.973146
1.530,347.100,0.968696
1.540,348.450,0.963496
1.550,348.968,0.966202
1.560,349.201,0.939344
1.570,350.126,0.746475
1.580,353.760,0.608157
1.590,358.698,0.828258
1.600,360.269,0.858552
1.610,361.383,0.907142
1.620,362.385,0.916678
1.630,363.726,0.890618
1.640,365.957,0.862065
1.650,368.408,0.835624
1.660,370.462,0.864016
1.670,372.161,0.875861
1.680,373.971,0.883788
1.690,375.756,0.927737
1.700,377.602,0.917962
1.710,379.330,0.953021
1.720,380.965,0.955263
1.730,382.686,0.921879
1.740,384.249,0.947407
1.750,386.140,0.929746
1.760,387.990,0.950199
1.770,390.044,0.947607
1.780,391.594,0.943589
1.790,393.099,0.968931
1.800,394.971,0.952838
1.810,396.599,0.958239
1.820,398.057,0.970054
1.830,399.658,0.943831
1.840,401.308,0.945756
1.850,403.392,0.946277
1.860,405.323,0.933370
1.870,407.089,0.955247
1.880,408.923,0.932772
1.890,411.016,0.948218
1.900,413.036,0.946351
1.910,414.569,0.926688
1.920,416.008,0.957187
1.930,417.470,0.959693
1.940,419.337,0.928914
1.950,421.233,0.941583
1.960,423.322,0.931610
1.970,425.275,0.937167
1.980,426.939,0.956026
1.990,428.525,0.932681
2.000,430.378,0.951346
2.010,432.122,0.954033
2.020,433.838,0.923973
2.030,435.416,0.949267
2.040,436.300,0.949887
2.050,437.023,0.948454
2.060,437.286,0.945873
2.070,437.462,0.941963
2.080,437.635,0.938057
2.090,437.924,0.935413
2.100,437.969,0.931964
2.110,438.251,0.926657
2.120,438.366,0.922924
2.130,438.556,0.916595
2.140,438.787,0.926016
2.150,438.869,0.927166
2.160,439.141,0.937061
2.170,439.242,0.939007
2.180,439.467,0.943537
2.190,439.547,0.946234
2.200,439.719,0.948813
2.210,439.951,0.952263
2.220,440.048,0.954344
2.230,440.253,0.954943
2.240,440.350,0.957795
2.250,440.477,0.956323
2.260,440.683,0.957485
2.270,440.775,0.957798
2.280,441.011,0.955340
2.290,441.035,0.957046
2.300,441.146,0.956733
2.310,441.360,0.956080
2.320,441.420,0.953954
2.330,441.758,0.951320
2.340,441.978,0.952013
2.350,441.819,0.950571
2.360,441.943,0.947337
2.370,442.224,0.944309
2.380,442.737,0.937319
2.390,442.781,0.939417
2.400,442.602,0.935213
2.410,442.584,0.933331
2.420,442.513,0.932866
2.430,442.938,0.930562
2.440,443.338,0.925108
2.450,443.702,0.913521
2.460,443.929,0.905795
2.470,443.998,0.899243
2.480,444.150,0.896530
2.490,444.247,0.891381
2.500,444.514,0.884951
2.510,444.663,0.884328
2.520,444.958,0.898292
2.530,445.060,0.895886
2.540,445.215,0.900759
2.550,445.193,0.897511
2.560,445.091,0.897744
2.570,445.266,0.907725
2.580,445.385,0.907317
2.590,445.693,0.914880
2.600,445.865,0.911643
2.610,446.115,0.924347
2.620,446.125,0.925473
2.630,446.306,0.926398
2.640,446.366,0.922046
2.650,446.637,0.925272
2.660,446.596,0.927053
2.670,446.802,0.931618
2.680,446.923,0.926044
2.690,447.024,0.926063
2.700,447.163,0.927870
2.710,447.408,0.926001
2.720,447.553,0.924840
2.730,447.665,0.921170
2.740,448.046,0.921238
2.750,448.095,0.915023
2.760,448.377,0.915108
2.770,448.596,0.906619
2.780,448.725,0.908612
2.790,448.995,0.899231
2.800,449.080,0.900518
2.810,449.289,0.889987
2.820,449.514,0.894670
2.830,449.672,0.896991
2.840,449.837,0.905157
2.850,449.945,0.904597
2.860,450.181,0.913447
2.870,450.262,0.912372
2.880,450.445,0.916384
2.890,450.618,0.918528
2.900,450.749,0.919474
2.910,450.986,0.921345
2.920,451.138,0.924116
2.930,451.281,0.922051
2.940,451.498,0.924367
2.950,451.594,0.923023
2.960,451.928,0.923684
2.970,452.074,0.922190
2.980,452.240,0.921657
2.990,452.508,0.919258
3.000,452.668,0.918786
3.010,452.917,0.913013
3.020,452.977,0.915783
3.030,453.266,0.911200
3.040,453.286,0.908838
3.050,453.188,0.909974
3.060,452.199,0.916190
3.070,450.880,0.908987
3.080,449.305,0.882617
3.090,447.871,0.913795
3.100,446.125,0.903022
3.110,444.540,0.874252
3.120,443.233,0.914857
3.130,442.060,0.945935
3.140,440.958,0.952466
3.150,439.413,0.925530
3.160,437.762,0.911509
3.170,436.357,0.921954
3.180,434.610,0.908096
3.190,432.917,0.921657
3.200,431.360,0.937225
3.210,429.994,0.924690
3.220,428.586,0.910893
3.230,427.192,0.937544
3.240,425.856,0.919281
3.250,424.092,0.885396
3.260,422.214,0.901884
3.270,420.200,0.883601
3.280,418.232,0.905581
3.290,416.717,0.922366
3.300,415.548,0.909754
3.310,414.366,0.880853
3.320,412.936,0.916076
3.330,411.558,0.926363
3.340,409.728,0.886131
3.350,407.906,0.919794
3.360,406.429,0.918419
3.370,404.769,0.890653
3.380,403.001,0.936613
3.390,401.307,0.925293
3.400,399.652,0.918311
3.410,398.359,0.943636
3.420,396.869,0.939338
3.430,395.376,0.919424
3.440,393.801,0.955532
3.450,392.607,0.954305
3.460,391.404,0.925874
3.470,389.992,0.946434
3.480,388.323,0.944203
3.490,386.610,0.894510
3.500,384.741,0.923949
3.510,382.786,0.892295
3.520,381.157,0.925236
3.530,379.916,0.927573
3.540,378.653,0.908689
3.550,377.041,0.932824
3.560,375.446,0.933206
3.570,373.661,0.880559
3.580,372.012,0.915077
3.590,370.603,0.914226
3.600,369.241,0.876435
3.610,367.505,0.892804
3.620,365.716,0.882756
3.630,363.762,0.907185
3.640,362.232,0.926842
3.650,360.752,0.905191
3.660,358.965,0.923937
3.670,357.282,0.921327
3.680,355.703,0.920508
3.690,354.387,0.937494
3.700,353.112,0.928557
3.710,351.741,0.919694
3.720,350.561,0.935284
3.730,349.223,0.919372
3.740,348.310,0.878441
3.750,346.890,0.907737
3.760,345.373,0.912415
3.770,343.601,0.907666
3.780,341.604,0.910449
3.790,339.467,0.908368
3.800,338.221,0.910815
3.810,336.813,0.889603
3.820,334.984,0.924641
3.830,333.231,0.914462
3.840,331.725,0.923179
3.850,330.538,0.943000
3.860,329.326,0.926190
3.870,328.009,0.935497
3.880,326.456,0.943911
3.890,324.873,0.924283
3.900,323.482,0.954315
3.910,322.189,0.935740
3.920,320.595,0.913652
3.930,318.680,0.929497
3.940,316.913,0.913369
3.950,314.868,0.928013
3.960,313.492,0.921992
3.970,312.298,0.946571
3.980,311.242,0.943603
3.990,310.067,0.937606
4.000,308.469,0.958856
4.010,306.530,0.945946
4.020,304.737,0.960801
4.030,303.273,0.935789
4.040,301.680,0.950524
4.050,299.991,0.910053
4.060,298.720,0.945837
4.070,297.655,0.947280
4.080,297.189,0.941050
4.090,297.126,0.940217
4.100,297.101,0.940186
4.110,297.063,0.939666
4.120,297.141,0.941084
4.130,297.215,0.944683
4.140,297.061,0.940283
4.150,297.031,0.941404
4.160,297.040,0.944412
4.170,297.053,0.944943
4.180,297.022,0.943812
4.190,297.090,0.946547
4.200,297.089,0.946594
4.210,297.040,0.946685
4.220,297.064,0.949418
4.230,297.057,0.950249
4.240,296.986,0.948217
4.250,296.962,0.947546
4.260,296.988,0.948541
4.270,296.947,0.947609
4.280,296.949,0.948215
4.290,297.006,0.950630
4.300,296.950,0.949192
4.310,296.885,0.946366
4.320,296.907,0.946671
4.330,296.904,0.946296
4.340,296.924,0.946569
4.350,296.856,0.945565
4.360,296.881,0.946408
4.370,296.780,0.941845
4.380,296.834,0.942478
4.390,296.911,0.945021
4.400,296.887,0.944235
4.410,296.792,0.941105
4.420,296.765,0.939800
4.430,296.676,0.935202
4.440,296.762,0.935957
4.450,296.872,0.937064
4.460,296.843,0.936691
4.470,296.684,0.932682
4.480,296.669,0.936047
4.490,296.787,0.932910
4.500,296.797,0.933729
4.510,296.855,0.935405
4.520,296.850,0.936145
4.530,296.747,0.933617
4.540,296.762,0.934654
4.550,296.825,0.936766
4.560,296.816,0.937189
4.570,296.849,0.938439
4.580,296.832,0.937712
4.590,296.716,0.935445
4.600,296.725,0.938254
4.610,296.848,0.944987
4.620,296.840,0.945348
4.630,296.872,0.944953
4.640,296.850,0.943722
4.650,296.822,0.945020
4.660,296.865,0.946759
4.670,296.902,0.944899
4.680,296.753,0.927082
4.690,296.388,0.917408
4.700,296.082,0.843549
